35
 0 -1 -1 -1 0 11
VTXST 0 2 4 7 5020 1
RFVNP 0 0 10 7 9195 2
PWISH 0 1 4 3 8103 2
HIANZ 0 2 3 3 9084 3
ILMJL 0 0 7 6 2741 0
VJDPS 0 0 6 0 8101 3
NNLLF 0 2 7 3 5842 1
GEKCT 0 0 5 4 4291 0
ZRPKJ 0 2 10 1 3811 3
ZRSBG 0 1 7 8 5425 0
TLRFW 0 2 6 1 3413 3
CCFHS 0 1 5 10 3673 2
XVFKI 0 2 10 0 7751 2
MRMWV 0 1 4 8 5146 4
FYOWI 0 0 2 9 6884 3
ZXBTY 0 0 4 2 6296 1
IMLBR 0 0 6 2 8479 4
IGWNN 0 0 10 10 3135 3
QNIVX 0 0 1 9 9644 1
QJQEF 0 0 6 4 6925 1
NLFBK 0 2 0 3 5191 0
PBHRW 0 0 4 8 9353 1
IBJVE 0 2 5 8 5926 1
CDKYR 0 2 8 8 3685 1
YOEIL 0 1 2 1 8119 1
DBUUF 0 0 4 8 2506 3
CHTHL 0 1 10 10 5099 1
DXOMQ 0 1 10 5 4995 3
KWTVS 0 2 3 2 9928 1
XYVIY 0 2 4 3 6246 0
OINUQ 0 1 4 5 7327 1
AYTXU 0 0 4 10 9623 0
ZZDUG 0 2 4 9 9934 3
QXFEJ 0 0 9 3 3686 0
