22
 0 -1 -1 -1 0 -1
WJHQQTE 0 0 2 2 2548 0
GTFHPRZ 0 1 9 10 6172 0
JWIXJOJ 0 0 10 6 6729 0
OBKZBGV 0 0 2 3 6264 0
SXNOIUH 0 1 7 8 2334 2
YONGJSQ 0 0 4 6 5978 0
YJPHHXH 0 1 8 1 4242 1
SMSHPDI 0 2 0 4 4324 1
QJDKIQZ 0 0 10 9 5606 2
QMIRAVX 0 2 3 5 4484 2
KQNKZCU 0 1 10 4 2964 2
JABDOTM 0 1 8 9 6377 2
DWUVGZF 0 0 3 10 5714 0
QPGHEOY 0 1 8 2 3372 0
EMXQCLB 0 1 2 1 3669 2
DPVORYS 0 2 0 6 3623 0
FREKOZF 0 0 8 3 5203 0
WALOSTV 0 2 5 1 2903 2
WIVCWTT 0 2 6 9 3678 2
YGWBXTQ 0 1 8 0 3631 2
PRKWIQH 0 0 1 5 5615 0
